#'chr'	'start'	'end'	'2cell_K27me3_maternal_mm10.bw'	'2cell_K27me3_paternal_mm10.bw'	'8cell_K27me3_maternal_mm10.bw'	'8cell_K27me3_paternal_mm10.bw'	'E6.5_epiblast_K27me3_maternal_mm10.bw'	'E6.5_epiblast_K27me3_paternal_mm10.bw'	'ICM_K27me3_maternal_mm10.bw'	'ICM_K27me3_paternal_mm10.bw'	'MII_oocyte_K27me3_mm10.bw'	'morula_H3K27me3_mei_maternal.bw'	'morula_H3K27me3_mei_paternal.bw'	'PN5_zygote_K27me3_maternal_mm10.bw'	'PN5_zygote_K27me3_paternal_mm10.bw'	'sperm_K27me3_mm10.bw'	'sperm_K27me3_sperm_chen_mm10.bw'
chr7	3217625	3219626	0.30100000351667405	0.34125000797212124	1.0122369785839298	1.2799999713897705	0.8650937000716131	0.8099999785423279	2.342316190424722	2.584250174303171	nan	1.5482871994741079	0.5692382336020291	nan	nan	2.114036165806947	24.869752869613166
chr7	4444656	4446657	0.2162809982772701	0.4100000113248825	nan	nan	0.5199999809265137	0.25999999046325684	0.4975000098347664	0.6700000166893005	0.7221481851197401	0.4180380108951033	0.7579205454378829	0.2800000011920929	0.2800000011920929	0.8393959899576718	1.4610871259776548
chr7	4777140	4779141	0.550000011920929	nan	nan	nan	0.8700000047683716	1.15	0.7614285860742841	0.6700000166893005	1.4476944757392796	0.2815070478752933	0.0	0.2800000011920929	0.2800000011920929	2.681776927794428	25.045943366474418
chr7	4788541	4790542	0.27000001072883606	nan	nan	nan	0.5199999809265137	0.5233333110809326	0.6700000166893005	0.6700000166893005	0.47567324145049983	0.08797089288617181	0.0	0.2800000011920929	nan	1.060365198228828	10.87956563360628
chr7	4876052	4878053	nan	0.6800000071525574	nan	3.8399999141693115	0.403408056951959	0.9124999940395355	0.6700000166893005	0.6700000166893005	nan	1.0190544459654176	1.2214488087148443	nan	nan	0.9176073234103042	2.359372613461002
chr7	5350034	5352035	0.27000001072883606	0.1724729423444535	nan	1.2799999713897705	0.4766666491826375	0.7824999690055847	nan	0.5373170884644113	nan	0.5162135736457352	1.1867440169838177	nan	0.2800000011920929	1.26481577021374	6.208985884805609
chr7	6382317	6384318	nan	nan	nan	nan	0.5674464825046556	0.4407316911511305	nan	0.33000001311302185	nan	0.2991013217722994	0.45315670681142733	0.3825641041928595	0.5600000023841858	0.5659339589723247	4.232841557171987
chr7	6661367	6663368	0.27000001072883606	nan	nan	0.6399999856948853	0.6539999723434449	0.6003799434358797	0.6700000166893005	nan	0.6999999838215964	0.7111568632631049	0.406085847795516	0.6950000077486038	0.3733333349227905	1.185925367581236	4.621564785788382
chr7	6695431	6697432	0.27000001072883606	0.27000001072883606	1.2799999713897705	nan	0.5475138509180913	0.4917963883596028	0.6700000166893005	1.340000033378601	0.699999988079071	0.7502165177296186	1.8062443300701867	0.2800000011920929	0.2800000011920929	0.744078632178705	4.814234957612794
chr7	6975746	6977747	nan	nan	nan	nan	0.4949999928474426	0.4097136647172849	nan	0.893333355585734	0.6416666557391485	0.6523919882385925	0.0	0.2800000011920929	nan	1.154924533591692	3.981018141500358
chr7	7297835	7299836	nan	nan	nan	nan	0.5199999809265137	0.25999999046325684	0.8501214532234408	nan	1.2856887695748496	0.5454186541863765	0.3933208818021028	0.2800000011920929	0.2800000011920929	1.000849386595594	3.668773224179832
chr7	8259598	8261599	nan	nan	nan	nan	nan	nan	nan	nan	0.699999988079071	0.0	0.0	nan	nan	nan	0.0
chr7	8382237	8384238	nan	nan	nan	nan	nan	nan	nan	nan	0.8166666527589163	0.0	0.0	nan	nan	nan	0.0
chr7	10632586	10634587	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.0	0.0	nan	nan	0.726485954769644	2.6893635385040042
chr7	12421490	12423491	0.27400000393390656	0.23318182135170157	2.559999942779541	1.9199999570846558	nan	0.5199999809265137	nan	nan	1.048181796615774	0.0	0.37896028165517004	0.2800000011920929	0.2800000011920929	0.7258408882346639	4.389177968596173
chr7	12817859	12819860	nan	nan	nan	nan	0.25999999046325684	nan	nan	nan	0.699999988079071	0.2255574170200304	0.4068836708297615	nan	nan	0.5961722530531541	1.2215161550825444
chr7	12974523	12976524	0.27000001072883606	nan	nan	nan	0.25999999046325684	nan	nan	nan	nan	0.15834779783465278	0.0	0.2800000011920929	nan	0.7266533175905148	1.3639066559800144
chr7	12976892	12978893	0.27000001072883606	nan	nan	nan	1.0499999523162842	1.0499999523162842	nan	nan	0.699999988079071	0.9152499381033913	0.638248889461748	0.6950000077486038	nan	0.7798152902264439	6.866012900874115
chr7	13277421	13279422	nan	0.20500000566244125	nan	nan	0.3466666539510091	0.25999999046325684	0.6700000166893005	0.33000001311302185	0.699999988079071	0.0	0.2991791697277658	nan	0.2800000011920929	0.89090911637653	0.6477289013955546
chr7	16070941	16072942	nan	0.27000001072883606	nan	nan	0.5874999761581421	0.551175705551649	0.6700000166893005	0.6700000166893005	nan	0.7213606201726636	0.3390697256914679	nan	0.2800000011920929	1.082402506386992	3.697505347047193
chr7	16118875	16120876	nan	nan	1.2799999713897705	nan	0.25999999046325684	0.38999998569488525	nan	nan	nan	0.36947790799529356	0.41885083761887215	nan	nan	0.6311087038206018	1.4805232099983943
chr7	16203200	16205201	0.27000001072883606	0.27000001072883606	nan	1.2799999713897705	0.4471428394317627	nan	nan	nan	0.44545453786849976	0.36947803608123686	0.0	0.46666666865348816	0.5549999922513962	0.9667108443303867	4.269602499891078
chr7	16400195	16402196	nan	nan	nan	nan	0.5199999809265137	nan	0.6700000166893005	nan	0.4666666587193807	0.38918328255429857	0.09972638990925527	nan	nan	1.1641156784346998	3.1727306995613462
chr7	19227388	19229389	0.27000001072883606	nan	nan	nan	nan	0.3692436839352135	nan	0.33000001311302185	nan	1.6552586344585962	0.9374280502532852	0.2800000011920929	nan	0.6194460133474639	2.9276670632750794
chr7	19279048	19281049	0.326726557787307	nan	1.2799999713897705	2.559999942779541	0.7156105316904905	0.4333333174387614	0.8948322370548376	0.6700000166893005	2.136239582938217	1.0211659876005106	0.5592655946111036	0.3733333349227905	nan	2.7847400667509725	19.180041705650545
chr7	19344070	19346071	0.14000000059604645	nan	nan	0.6399999856948853	nan	nan	nan	nan	0.450889672036697	1.0278515446072873	0.1396169458729574	nan	nan	0.621149640775075	1.8489639368848405
chr7	19420416	19422417	nan	nan	nan	nan	0.47905510053859923	0.4216547621129753	0.6092039895294911	0.8900000221693694	0.641666645805041	0.4349276197367701	0.1930702908643182	nan	nan	1.0585012691710098	8.984971487897447
