#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
0	NM_001008533	chr1	-	134199214	134235457	134202950	134234355	2	134199214,134234014,	134203590,134235457,	0	Adora1	cmpl	cmpl	2,0,
1	NM_027671	chr1	-	8359738	9299877	8363474	8803943	21	8359738,8414202,8445026,8447979,8463393,8465436,8554724,8583204,8595411,8607069,8624778,8677806,8677936,8679072,8681972,8782762,8803916,8882160,8999185,9203178,9298132,	8363633,8414313,8445119,8448132,8463465,8465553,8554763,8583334,8595542,8607152,8624881,8677848,8677980,8679130,8682029,8782897,8803970,8882214,8999249,9203260,9299877,	0	Sntg1	cmpl	cmpl	0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,-1,-1,-1,-1,
2	NM_027677	chr1	+	125676995	125873861	125677336	125872884	2	125676995,125872369,	125678192,125873861,	0	Gpr39	cmpl	cmpl	0,1,
2	NM_178884	chr1	-	75485824	75506452	75485951	75506224	20	75485824,75486639,75487222,75487628,75487905,75488588,75489482,75490795,75491187,75492505,75492869,75493784,75497007,75498074,75499901,75501958,75502912,75503366,75503696,75505212,	75485959,75486909,75487327,75487790,75488062,75488701,75489749,75491068,75491457,75492793,75493145,75494057,75497280,75498347,75500174,75502255,75503215,75503618,75503966,75506452,	0	Obsl1	cmpl	cmpl	1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
3	NM_001195816	chr1	-	175962305	176213942	175963827	176213622	10	175962305,175970477,175975458,175984446,175993851,176044834,176074413,176089870,176139961,176213619,	175964084,175970592,175975627,175984583,175994049,176044962,176074525,176090039,176140098,176213942,	0	Pld5	cmpl	cmpl	1,0,2,0,0,1,0,2,0,0,
3	NM_033652	chr1	+	167689557	167848733	167689774	167846761	8	167689557,167691980,167791336,167830545,167832816,167840902,167844631,167846600,	167689850,167692167,167791569,167830718,167832894,167840972,167844802,167848733,	0	Lmx1a	cmpl	cmpl	0,1,2,1,0,0,1,1,
14	NM_053107	chr1	+	42952871	43035449	43032198	43033320	2	42952871,43031951,	42953233,43035449,	0	Gpr45	cmpl	cmpl	-1,0,
15	NM_001114663	chr1	+	55405945	55754285	55406387	55751463	6	55405945,55695744,55701929,55713420,55715493,55751280,	55406630,55698219,55702133,55713496,55715603,55754285,	0	Plcl1	cmpl	cmpl	0,0,0,0,1,0,
16	NM_001081050	chr1	+	61638823	62642284	61639242	62637923	23	61638823,61767947,62010306,62076384,62144846,62153932,62159434,62161109,62164079,62166353,62198576,62211533,62216422,62230178,62238836,62275882,62343933,62344869,62440010,62479498,62532644,62587736,62637565,	61639362,61768049,62010478,62076494,62144935,62154019,62159560,62161468,62164219,62166482,62198762,62211704,62216555,62230278,62238952,62275927,62344140,62345107,62440121,62479795,62532780,62587816,62642284,	0	Pard3b	cmpl	cmpl	0,0,0,1,0,2,2,2,1,0,0,0,0,1,2,1,1,1,2,2,2,0,2,
17	NM_010154	chr1	-	68032186	69108059	68040040	69107756	27	68032186,68042440,68071517,68073097,68075417,68078535,68080639,68198841,68250579,68254528,68259180,68290242,68298286,68305844,68309594,68328067,68330191,68331219,68339356,68343839,68346545,68349300,68370454,68396180,68560495,68740381,69107674,	68040486,68042738,68071688,68073195,68075564,68078611,68080795,68199027,68250678,68254651,68259313,68290317,68298441,68305938,68309727,68328267,68330282,68331293,68339483,68343953,68346687,68349419,68370520,68396315,68560682,68740533,69108059,	0	Erbb4	cmpl	cmpl	1,0,0,1,1,0,0,0,0,0,2,2,0,2,1,2,1,2,1,1,0,1,1,1,0,1,0,
18	NM_175291	chr1	-	80501067	80758553	80501706	80758448	56	80501067,80505324,80505620,80510276,80512426,80515488,80523715,80523969,80526223,80528232,80528648,80530077,80531173,80532321,80533785,80535852,80536844,80538782,80539809,80540084,80540243,80540456,80541227,80543099,80543340,80549132,80549705,80551454,80552677,80559166,80560900,80564501,80566727,80567291,80567995,80568437,80568746,80572456,80573479,80574079,80575858,80578585,80584995,80586328,80586648,80592516,80592772,80593158,80595540,80605790,80606164,80606552,80615291,80634199,80648212,80758325,	80501826,80505463,80505721,80510467,80512637,80515635,80523829,80524092,80526330,80528331,80528706,80530293,80531284,80532504,80533923,80535965,80536969,80538884,80539857,80540151,80540358,80540578,80541339,80543216,80543516,80549177,80549802,80551538,80552824,80559238,80561014,80564571,80566846,80567384,80568082,80568559,80568870,80572549,80573545,80574267,80575938,80578708,80585078,80586451,80586870,80592672,80592856,80593244,80595724,80605925,80606287,80606625,80615374,80634289,80648332,80758553,	0	Dock10	cmpl	cmpl	0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,
19	NM_201644	chr1	+	88070778	88220002	88070829	88218424	5	88070778,88215043,88215794,88216137,88218126,	88071678,88215175,88215882,88216357,88220002,	0	Ugt1a9	cmpl	cmpl	0,0,0,1,2,
19	NM_201641	chr1	+	88055410	88220002	88055481	88218424	5	88055410,88215043,88215794,88216137,88218126,	88056336,88215175,88215882,88216357,88220002,	0	Ugt1a10	cmpl	cmpl	0,0,0,1,2,
19	NM_027921	chr1	-	84906704	84935083	84907277	84929551	5	84906704,84912195,84922853,84929286,84934859,	84907429,84913173,84922997,84929564,84935083,	0	Slc16a14	cmpl	cmpl	1,1,1,0,-1,
21	NM_011800	chr1	+	104768519	104995481	104934096	104994385	12	104768519,104933956,104941031,104942097,104945191,104947323,104953828,104970820,104974993,104978979,104984670,104993879,	104768898,104934342,104941326,104942217,104945359,104947511,104954082,104970957,104975115,104979097,104984922,104995481,	0	Cdh20	cmpl	cmpl	-1,0,0,1,1,1,0,2,1,0,1,1,
22	NM_172853	chr1	+	109983722	110139903	109994179	110138355	12	109983722,109993985,110048816,110052848,110060994,110065609,110084919,110098270,110099227,110100020,110108703,110137861,	109983891,109994389,110049111,110052968,110061162,110065797,110085173,110098407,110099349,110100138,110108955,110139903,	0	Cdh7	cmpl	cmpl	-1,0,0,1,1,1,0,2,1,0,1,1,
23	NM_199021	chr1	-	123332137	124045559	123334248	124045443	26	123332137,123336823,123341104,123341319,123341616,123352633,123353411,123367597,123367774,123376626,123378126,123384284,123384921,123398520,123402832,123411710,123423612,123432930,123445200,123485893,123486072,123650287,123686220,123854165,123905061,124045371,	123334383,123336897,123341177,123341378,123341716,123352688,123353606,123367667,123367873,123376674,123378248,123384332,123385013,123398628,123402871,123411834,123423710,123433085,123445321,123485975,123486125,123650362,123686315,123854261,123905176,124045559,	0	Dpp10	cmpl	cmpl	0,1,0,1,0,2,2,1,1,1,2,2,0,0,0,2,0,1,0,2,0,0,1,1,0,0,
24	NM_172485	chr1	+	129273303	130219278	129430830	130218180	28	129273303,129430796,129595369,129613109,129628876,129667813,129678048,129758445,129760268,129776292,129816642,129822591,129915552,129921247,129951389,130103070,130116559,130159573,130162819,130165048,130180351,130188459,130189855,130190130,130192553,130195106,130210240,130218098,	129273600,129430969,129596180,129613358,129629046,129667969,129678246,129758637,129760503,129776408,129816772,129822695,129915747,129921514,129951568,130103204,130116710,130159715,130162935,130165166,130180497,130188619,130190029,130190226,130192636,130195299,130210328,130219278,	0	Thsd7b	cmpl	cmpl	-1,0,1,2,2,1,1,1,1,2,1,2,1,1,1,0,2,0,1,0,1,0,1,1,1,0,1,2,
26	NM_001145807	chr1	+	146497686	146902472	146514717	146902117	8	146497686,146514667,146682575,146701655,146746479,146751754,146831560,146901000,	146497740,146514953,146682766,146701846,146746585,146751991,146831783,146902472,	0	Brinp3	cmpl	cmpl	-1,0,2,1,0,1,1,2,
27	NM_197990	chr1	-	151884523	152090320	151893393	152006638	6	151884523,151915481,151921046,151980425,152006544,152089931,	151893432,151915542,151921123,151980520,152006767,152090320,	0	1700025G04Rik	cmpl	cmpl	0,2,0,1,0,-1,
27	NM_175460	chr1	+	152955100	153119261	152955108	153115670	11	152955100,153073796,153074672,153076908,153086336,153088783,153090496,153094036,153112141,153112379,153115567,	152955193,153073885,153074740,153076987,153086463,153088864,153090541,153094113,153112243,153112447,153119261,	0	Nmnat2	cmpl	cmpl	0,1,0,2,0,1,1,1,0,0,2,
27	NM_207583	chr1	-	158245268	158356260	158246197	158295694	8	158245268,158249288,158251239,158254973,158266461,158267829,158295425,158355516,	158247314,158249511,158251476,158255079,158266670,158268020,158295770,158356260,	0	Brinp2	cmpl	cmpl	2,1,1,0,1,2,0,-1,
28	NM_001038846	chr1	-	165648944	165708094	165650177	165707896	6	165648944,165655304,165657498,165659372,165664948,165707890,	165650210,165656036,165657702,165659444,165665050,165708094,	0	Rcsd1	cmpl	cmpl	0,0,0,0,0,0,
30	NM_001160211	chr1	+	181352627	181460641	181353425	181459252	6	181352627,181406466,181409628,181449969,181454594,181459224,	181353506,181406535,181409676,181450082,181454738,181460641,	0	Cnih3	cmpl	cmpl	0,0,0,0,2,2,
30	NM_001081175	chr1	+	180330475	180423659	180332310	180421890	8	180330475,180332111,180412673,180413786,180418153,180420257,180421274,180421674,	180330779,180334230,180412773,180414000,180418358,180420359,180421346,180423659,	0	Itpkb	cmpl	cmpl	-1,0,0,1,2,0,0,0,
31	NM_001243792	chr1	+	187609005	188214884	188043346	188211139	8	187609005,187793324,188043333,188066340,188146312,188150178,188198575,188210894,	187609205,187793412,188043749,188066457,188146423,188150340,188198845,188214884,	0	Esrrg	cmpl	cmpl	-1,-1,0,1,1,1,1,1,
31	NM_009367	chr1	-	186622791	186705989	186625447	186704774	7	186622791,186628882,186630609,186632457,186632677,186649734,186704428,	186625606,186629036,186630787,186632568,186632810,186649898,186705989,	0	Tgfb2	cmpl	cmpl	0,2,1,1,0,1,0,
77	NM_001177795	chr1	-	4909575	5070285	4910473	5070177	6	4909575,4912313,4916896,4923846,5020737,5070009,	4910662,4912548,4916980,4923989,5021037,5070285,	0	Rgs20	cmpl	cmpl	0,2,2,0,0,0,
83	NM_001033636	chr1	+	11263962	11303682	11265971	11297753	6	11263962,11265678,11265968,11285056,11289252,11297707,	11264095,11265745,11266159,11285159,11289320,11303682,	0	Prex2	cmpl	cmpl	-1,-1,0,2,0,2,
88	NM_001033288	chr1	-	15853861	15892722	15855744	15892652	5	15853861,15858888,15860260,15883645,15892438,	15855862,15859065,15860351,15883840,15892722,	0	Sbspon	cmpl	cmpl	2,2,1,1,0,
89	NM_020604	chr1	-	16994939	17097889	16997478	17097604	5	16994939,17003890,17016038,17091297,17097225,	16997559,17004534,17016157,17092057,17097889,	0	Jph1	cmpl	cmpl	0,1,2,1,0,
91	NM_153154	chr1	+	19103021	19168587	19103255	19166178	8	19103021,19104363,19108249,19118829,19119161,19142836,19148303,19165958,	19103294,19104861,19108310,19118995,19119280,19142978,19148417,19168587,	0	Tfap2d	cmpl	cmpl	0,0,0,1,2,1,2,2,
